id,release_date,movie,production_budget,domestic_gross_x,worldwide_gross,net_profit,ROI,release_year,clean_movie,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,clean_title_x,primary_genre,title,studio,domestic_gross_y,foreign_gross,year,total_gross,clean_title_y
1,2009-12-18,Avatar,425000000.0,760507625.0,2776345279.0,2351345279.0,5.532577127058824,2009,avatar,,,,,,,,,,Unknown,,,,,,,
2,2011-05-20,Pirates of the Caribbean: On Stranger Tides,410600000.0,241063875.0,1045663875.0,635063875.0,1.5466728567949342,2011,pirates of the caribbean on stranger tides,tt1298650,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,2011.0,136.0,"Action,Adventure,Fantasy",6.6,447624.0,pirates of the caribbean on stranger tides,Action,Pirates of the Caribbean: On Stranger Tides,BV,241100000.0,804600000.0,2011.0,1045700000.0,pirates of the caribbean on stranger tides
3,2019-06-07,Dark Phoenix,350000000.0,42762350.0,149762350.0,-200237650.0,-0.5721075714285714,2019,dark phoenix,tt6565702,Dark Phoenix,Dark Phoenix,2019.0,113.0,"Action,Adventure,Sci-Fi",6.0,24451.0,dark phoenix,Action,,,,,,,
4,2015-05-01,Avengers: Age of Ultron,330600000.0,459005868.0,1403013963.0,1072413963.0,3.2438413883847548,2015,avengers age of ultron,tt2395427,Avengers: Age of Ultron,Avengers: Age of Ultron,2015.0,141.0,"Action,Adventure,Sci-Fi",7.3,665594.0,avengers age of ultron,Action,Avengers: Age of Ultron,BV,459000000.0,946400000.0,2015.0,1405400000.0,avengers age of ultron
5,2017-12-15,Star Wars Ep. VIII: The Last Jedi,317000000.0,620181382.0,1316721747.0,999721747.0,3.1536963627760253,2017,star wars ep. viii the last jedi,,,,,,,,,,Unknown,,,,,,,
6,2015-12-18,Star Wars Ep. VII: The Force Awakens,306000000.0,936662225.0,2053311220.0,1747311220.0,5.710167385620915,2015,star wars ep. vii the force awakens,,,,,,,,,,Unknown,,,,,,,
7,2018-04-27,Avengers: Infinity War,300000000.0,678815482.0,2048134200.0,1748134200.0,5.827114,2018,avengers infinity war,tt4154756,Avengers: Infinity War,Avengers: Infinity War,2018.0,149.0,"Action,Adventure,Sci-Fi",8.5,670926.0,avengers infinity war,Action,Avengers: Infinity War,BV,678800000.0,,2018.0,,avengers infinity war
8,2007-05-24,Pirates of the Caribbean: At Worldâs End,300000000.0,309420425.0,963420425.0,663420425.0,2.2114014166666665,2007,pirates of the caribbean at worldâs end,,,,,,,,,,Unknown,,,,,,,
9,2017-11-17,Justice League,300000000.0,229024295.0,655945209.0,355945209.0,1.18648403,2017,justice league,tt0974015,Justice League,Justice League,2017.0,120.0,"Action,Adventure,Fantasy",6.5,329135.0,justice league,Action,Justice League,WB,229000000.0,428900000.0,2017.0,657900000.0,justice league
10,2015-11-06,Spectre,300000000.0,200074175.0,879620923.0,579620923.0,1.9320697433333334,2015,spectre,tt2379713,Spectre,Spectre,2015.0,148.0,"Action,Adventure,Thriller",6.8,352504.0,spectre,Action,Spectre,Sony,200100000.0,680600000.0,2015.0,880700000.0,spectre
