id,release_date,movie,production_budget,domestic_gross,worldwide_gross,net_profit,ROI,release_year,clean_movie,clean_title_x,start_year_x,genres,primary_genre,clean_title_y,start_year_y,averagerating,numvotes
2,2011-05-20,Pirates of the Caribbean: On Stranger Tides,410600000.0,241063875.0,1045663875.0,635063875.0,1.5466728567949342,2011,pirates of the caribbean on stranger tides,pirates of the caribbean on stranger tides,2011.0,"Action,Adventure,Fantasy",Action,pirates of the caribbean on stranger tides,2011,6.6,447624
3,2019-06-07,Dark Phoenix,350000000.0,42762350.0,149762350.0,-200237650.0,-0.5721075714285714,2019,dark phoenix,dark phoenix,2019.0,"Action,Adventure,Sci-Fi",Action,dark phoenix,2019,6.0,24451
4,2015-05-01,Avengers: Age of Ultron,330600000.0,459005868.0,1403013963.0,1072413963.0,3.2438413883847548,2015,avengers age of ultron,avengers age of ultron,2015.0,"Action,Adventure,Sci-Fi",Action,avengers age of ultron,2015,7.3,665594
7,2018-04-27,Avengers: Infinity War,300000000.0,678815482.0,2048134200.0,1748134200.0,5.827114,2018,avengers infinity war,avengers infinity war,2018.0,"Action,Adventure,Sci-Fi",Action,avengers infinity war,2018,8.5,670926
9,2017-11-17,Justice League,300000000.0,229024295.0,655945209.0,355945209.0,1.18648403,2017,justice league,justice league,2017.0,"Action,Adventure,Fantasy",Action,justice league,2017,6.5,329135
10,2015-11-06,Spectre,300000000.0,200074175.0,879620923.0,579620923.0,1.9320697433333334,2015,spectre,spectre,2015.0,"Action,Adventure,Thriller",Action,spectre,2015,6.8,352504
11,2012-07-20,The Dark Knight Rises,275000000.0,448139099.0,1084439099.0,809439099.0,2.9434149054545453,2012,the dark knight rises,the dark knight rises,2012.0,"Action,Thriller",Action,the dark knight rises,2012,8.4,1387769
12,2018-05-25,Solo: A Star Wars Story,275000000.0,213767512.0,393151347.0,118151347.0,0.4296412618181818,2018,solo a star wars story,solo a star wars story,2018.0,"Action,Adventure,Fantasy",Action,solo a star wars story,2018,7.0,226243
13,2013-07-02,The Lone Ranger,275000000.0,89302115.0,260002115.0,-14997885.0,-0.05453776363636364,2013,the lone ranger,the lone ranger,2013.0,"Action,Adventure,Western",Action,the lone ranger,2013,6.4,208827
14,2012-03-09,John Carter,275000000.0,73058679.0,282778100.0,7778100.0,0.028284,2012,john carter,john carter,2012.0,"Action,Adventure,Sci-Fi",Action,john carter,2012,6.6,241792
15,2010-11-24,Tangled,260000000.0,200821936.0,586477240.0,326477240.0,1.2556816923076923,2010,tangled,tangled,2010.0,"Adventure,Animation,Comedy",Adventure,tangled,2010,7.8,366366
17,2016-05-06,Captain America: Civil War,250000000.0,408084349.0,1140069413.0,890069413.0,3.560277652,2016,captain america civil war,captain america civil war,2016.0,"Action,Adventure,Sci-Fi",Action,captain america civil war,2016,7.8,583507
18,2016-03-25,Batman v Superman: Dawn of Justice,250000000.0,330360194.0,867500281.0,617500281.0,2.470001124,2016,batman v superman dawn of justice,batman v superman dawn of justice,2016.0,"Action,Adventure,Fantasy",Action,batman v superman dawn of justice,2016,6.5,576909
19,2012-12-14,The Hobbit: An Unexpected Journey,250000000.0,303003568.0,1017003568.0,767003568.0,3.068014272,2012,the hobbit an unexpected journey,the hobbit an unexpected journey,2012.0,"Adventure,Family,Fantasy",Adventure,the hobbit an unexpected journey,2012,7.9,719629
21,2013-12-13,The Hobbit: The Desolation of Smaug,250000000.0,258366855.0,960366855.0,710366855.0,2.84146742,2013,the hobbit the desolation of smaug,the hobbit the desolation of smaug,2013.0,"Adventure,Fantasy",Adventure,the hobbit the desolation of smaug,2013,7.8,565563
22,2014-12-17,The Hobbit: The Battle of the Five Armies,250000000.0,255119788.0,945577621.0,695577621.0,2.782310484,2014,the hobbit the battle of the five armies,the hobbit the battle of the five armies,2014.0,"Adventure,Fantasy",Adventure,the hobbit the battle of the five armies,2014,7.4,438621
23,2017-04-14,The Fate of the Furious,250000000.0,225764765.0,1234846267.0,984846267.0,3.939385068,2017,the fate of the furious,the fate of the furious,2017.0,"Action,Crime,Thriller",Action,the fate of the furious,2017,6.7,179774
25,2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,230000000.0,172558876.0,788241137.0,558241137.0,2.4271353782608696,2017,pirates of the caribbean dead men tell no tales,pirates of the caribbean dead men tell no tales,2017.0,"Action,Adventure,Fantasy",Action,pirates of the caribbean dead men tell no tales,2017,6.6,228592
27,2012-05-04,The Avengers,225000000.0,623279547.0,1517935897.0,1292935897.0,5.746381764444444,2012,the avengers,the avengers,2012.0,"Action,Adventure,Sci-Fi",Action,the avengers,2012,8.1,1183655
29,2013-06-14,Man of Steel,225000000.0,291045518.0,667999518.0,442999518.0,1.9688867466666666,2013,man of steel,man of steel,2013.0,"Action,Adventure,Sci-Fi",Action,man of steel,2013,7.1,647288
31,2012-07-03,The Amazing Spider-Man,220000000.0,262030663.0,757890267.0,537890267.0,2.444955759090909,2012,the amazing spider-man,the amazing spider-man,2012.0,"Action,Adventure,Sci-Fi",Action,the amazing spider-man,2012,7.0,525632
32,2012-05-18,Battleship,220000000.0,65233400.0,313477717.0,93477717.0,0.4248987136363636,2012,battleship,battleship,2012.0,"Action,Adventure,Sci-Fi",Action,battleship,2012,5.8,225342
33,2017-06-21,Transformers: The Last Knight,217000000.0,130168683.0,602893340.0,385893340.0,1.7783103225806451,2017,transformers the last knight,transformers the last knight,2017.0,"Action,Adventure,Sci-Fi",Action,transformers the last knight,2017,5.2,119007
34,2015-06-12,Jurassic World,215000000.0,652270625.0,1648854864.0,1433854864.0,6.669092390697674,2015,jurassic world,jurassic world,2015.0,"Action,Adventure,Sci-Fi",Action,jurassic world,2015,7.0,539338
35,2012-05-25,Men in Black 3,215000000.0,179020854.0,654213485.0,439213485.0,2.042853418604651,2012,men in black 3,men in black 3,2012.0,"Action,Adventure,Comedy",Action,men in black 3,2012,6.8,309879
37,2014-06-27,Transformers: Age of Extinction,210000000.0,245439076.0,1104039076.0,894039076.0,4.2573289333333335,2014,transformers age of extinction,transformers age of extinction,2014.0,"Action,Adventure,Sci-Fi",Action,transformers age of extinction,2014,5.7,283486
39,2010-05-14,Robin Hood,210000000.0,105487148.0,322459006.0,112459006.0,0.5355190761904762,2010,robin hood,robin hood,2010.0,"Action,Adventure,Drama",Action,robin hood,2010,6.6,239480
42,2018-02-16,Black Panther,200000000.0,700059566.0,1348258224.0,1148258224.0,5.74129112,2018,black panther,black panther,2018.0,"Action,Adventure,Sci-Fi",Action,black panther,2018,7.3,516148
44,2018-06-15,Incredibles 2,200000000.0,608581744.0,1242520711.0,1042520711.0,5.212603555,2018,incredibles 2,incredibles 2,2018.0,"Action,Adventure,Animation",Action,incredibles 2,2018,7.7,203510
45,2016-12-16,Rogue One: A Star Wars Story,200000000.0,532177324.0,1049102856.0,849102856.0,4.24551428,2016,rogue one a star wars story,rogue one a star wars story,2016.0,"Action,Adventure,Sci-Fi",Action,rogue one a star wars story,2016,7.8,478592
46,2016-06-17,Finding Dory,200000000.0,486295561.0,1021215193.0,821215193.0,4.106075965,2016,finding dory,finding dory,2016.0,"Adventure,Animation,Comedy",Adventure,finding dory,2016,7.3,213542
47,2010-06-18,Toy Story 3,200000000.0,415004880.0,1068879522.0,868879522.0,4.34439761,2010,toy story 3,toy story 3,2010.0,"Adventure,Animation,Comedy",Adventure,toy story 3,2010,8.3,682218
48,2013-05-03,Iron Man 3,200000000.0,408992272.0,1215392272.0,1015392272.0,5.07696136,2013,iron man 3,iron man 3,2013.0,"Action,Adventure,Sci-Fi",Action,iron man 3,2013,7.2,692794
51,2010-03-05,Alice in Wonderland,200000000.0,334191110.0,1025491110.0,825491110.0,4.12745555,2010,alice in wonderland,alice in wonderland,2010.0,"Adventure,Family,Fantasy",Adventure,alice in wonderland,2010,6.5,358813
51,2010-03-05,Alice in Wonderland,200000000.0,334191110.0,1025491110.0,825491110.0,4.12745555,2010,alice in wonderland,alice in wonderland,2010.0,"Fantasy,Musical",Fantasy,alice in wonderland,2010,6.5,358813
52,2012-11-08,Skyfall,200000000.0,304360277.0,1110526981.0,910526981.0,4.552634905,2012,skyfall,skyfall,2012.0,"Action,Adventure,Thriller",Action,skyfall,2012,7.8,592221
